# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Tue Sep 15 20:48:28 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: WFIRST proposed filters, Vegamags
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  R062mag  Z087mag  Y106mag  J129mag  H158mag  F184mag  W149mag
0.0152 0.01508 10.13672 0.9292808175 2.4568066597    0.928  0.272  3.7220  3.974    2  0.000  0.536     0.00     0.00 -1 -3.63e-20      0.00 7.385e-01 2.475e-01 2.480e-03 6.786e-04 6.173e-03 -1.000 1.403e-02 4.091 3.889 3.269 3.059 2.732 2.430 2.328 2.720
0.0152 0.01508 10.13672 0.9312666655 2.4572975636    0.930  0.282  3.7127  3.927    2  0.000  0.536     0.00     0.00 -1 -1.06e-19      0.00 7.336e-01 2.522e-01 2.517e-03 6.885e-04 6.261e-03 -1.000 1.425e-02 4.065 3.882 3.234 3.011 2.668 2.347 2.237 2.651
0.0152 0.01508 10.13672 0.9330522418 2.4577369690    0.931  0.304  3.7037  3.870    2  0.000  0.536     0.00     0.00 -1 -4.74e-19      0.00 7.289e-01 2.566e-01 2.551e-03 6.974e-04 6.340e-03 -1.000 1.443e-02 4.011 3.849 3.173 2.936 2.578 2.240 2.121 2.556
0.0152 0.01508 10.13672 0.9346526265 2.4581289291    0.933  0.340  3.6966  3.806    2  0.000  0.537     0.00     0.00 -1 -1.89e-18      0.00 7.246e-01 2.609e-01 2.579e-03 7.049e-04 6.406e-03 -1.000 1.458e-02 3.919 3.777 3.077 2.829 2.459 2.107 1.981 2.433
0.0152 0.01508 10.13672 0.9352866411 2.4582839012    0.934  0.359  3.6941  3.778    2  0.000  0.537     0.00     0.00 -1 -3.31e-18      0.00 7.228e-01 2.626e-01 2.589e-03 7.077e-04 6.431e-03 -1.000 1.464e-02 3.873 3.737 3.029 2.777 2.404 2.046 1.918 2.375
0.0152 0.01508 10.13672 0.9358704090 2.4584262371    0.934  0.383  3.6925  3.748    2  0.000  0.537     0.00     0.00 -1 -5.62e-18      0.00 7.212e-01 2.642e-01 2.597e-03 7.098e-04 6.450e-03 -1.000 1.465e-02 3.814 3.683 2.969 2.715 2.338 1.977 1.848 2.309
0.0152 0.01508 10.13672 0.9368461967 2.4586639404    0.935  0.426  3.6902  3.696    3  0.000  0.537     0.00     0.00 -1 -1.38e-17      0.00 7.182e-01 2.671e-01 2.609e-03 7.134e-04 6.481e-03 -1.000 1.471e-02 3.705 3.581 2.860 2.601 2.221 1.854 1.723 2.190
0.0152 0.01508 10.13672 0.9378643632 2.4589111805    0.936  0.479  3.6884  3.636    3  0.000  0.536     0.00     0.00 -1  -3.6e-17      0.00 7.148e-01 2.704e-01 2.617e-03 7.174e-04 6.509e-03 -1.000 1.480e-02 3.573 3.455 2.728 2.466 2.083 1.712 1.579 2.050
0.0152 0.01508 10.13672 0.9386875033 2.4591107368    0.937  0.526  3.6872  3.584    3  0.000  0.534     0.00     0.00 -1 -7.98e-17      0.00 7.118e-01 2.734e-01 2.613e-03 7.238e-04 6.528e-03 -1.000 1.482e-02 3.454 3.340 2.610 2.346 1.960 1.587 1.452 1.926
0.0152 0.01508 10.13672 0.9393768907 2.4592776299    0.938  0.569  3.6862  3.537    3  0.000  0.529     0.00     0.00 -1 -1.57e-16      0.00 7.091e-01 2.760e-01 2.597e-03 7.375e-04 6.543e-03 -1.000 1.487e-02 3.346 3.236 2.502 2.237 1.849 1.474 1.338 1.815
0.0152 0.01508 10.13672 0.9400348663 2.4594364166    0.938  0.614  3.6853  3.490    3  0.000  0.521     0.00     0.00 -1 -3.03e-16      0.00 7.064e-01 2.786e-01 2.564e-03 7.703e-04 6.554e-03 -1.000 1.491e-02 3.235 3.128 2.391 2.124 1.735 1.358 1.221 1.700
0.0152 0.01508 10.13672 0.9406516552 2.4595851898    0.939  0.659  3.6844  3.441    3  0.000  0.512     0.00     0.00 -1  -5.7e-16      0.00 7.041e-01 2.809e-01 2.522e-03 8.189e-04 6.564e-03 -1.000 1.497e-02 3.123 3.018 2.279 2.010 1.619 1.240 1.102 1.584
0.0152 0.01508 10.13672 0.9412277937 2.4597239494    0.939  0.705  3.6834  3.392    3  0.000  0.504     0.00     0.00 -1 -1.04e-15      0.00 7.022e-01 2.828e-01 2.482e-03 8.681e-04 6.571e-03 -1.000 1.496e-02 3.008 2.907 2.164 1.894 1.501 1.120 0.981 1.465
0.0152 0.01508 10.13672 0.9417212605 2.4598426819    0.940  0.747  3.6824  3.346    3  0.000  0.496     0.00     0.00 -1 -1.77e-15      0.00 7.006e-01 2.844e-01 2.447e-03 9.128e-04 6.576e-03 -1.000 1.498e-02 2.903 2.805 2.059 1.787 1.392 1.010 0.870 1.356
0.0152 0.01508 10.13672 0.9422273636 2.4599642754    0.940  0.793  3.6813  3.295    3  0.000  0.489     0.00     0.00 -1 -3.08e-15      0.00 6.990e-01 2.860e-01 2.416e-03 9.536e-04 6.581e-03 -1.000 1.497e-02 2.786 2.691 1.942 1.668 1.271 0.887 0.745 1.234
0.0152 0.01508 10.13672 0.9426599145 2.4600679874    0.941  0.837  3.6802  3.247    3  0.000  0.485     0.00     0.00 -1 -5.02e-15      0.00 6.981e-01 2.869e-01 2.397e-03 9.786e-04 6.585e-03 -1.000 1.499e-02 2.678 2.587 1.833 1.557 1.159 0.772 0.629 1.121
0.0152 0.01508 10.13672 0.9430601001 2.4601638317    0.941  0.880  3.6790  3.199    3  0.000  0.482     0.00     0.00 -1 -7.99e-15      0.00 6.972e-01 2.878e-01 2.380e-03 1.001e-03 6.587e-03 -1.000 1.501e-02 2.570 2.483 1.725 1.447 1.046 0.657 0.512 1.007
