# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr 20 18:15:26 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: simulations of mass 10000 Msun
# Z         age       Mini           Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00004384  1.37e+10  0.1259984821   0.125 -2.430  3.5928  5.289    1  0.000  0.545     0.00     0.00 -1 -2.53e-16      0.00 7.397e-01 2.602e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 10.845 14.000 13.010 11.727 10.829 10.115 9.229 8.735 8.592
0.00004384  1.37e+10  0.1011074334   0.101 -2.762  3.5608  5.399    1  0.000  0.545     0.00     0.00 -1 -2.88e-17      0.00 7.443e-01 2.556e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 11.675 15.785 14.370 12.834 11.772 10.924 9.947 9.539 9.421
0.00004384  1.37e+10  0.1073485836   0.107 -2.667  3.5705  5.368    1  0.000  0.545     0.00     0.00 -1 -5.55e-17      0.00 7.430e-01 2.569e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.438 15.229 13.960 12.507 11.493 10.697 9.746 9.307 9.180
0.00004384  1.37e+10  0.4233989120   0.422 -1.258  3.6664  4.939    1  0.000  0.545     0.00     0.00 -1  -1.2e-15      0.00 7.503e-01 2.496e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 7.915 9.550 9.242 8.330 7.729 7.191 6.523 6.047 5.906
0.00004384  1.37e+10  0.1774469614   0.177 -2.047  3.6180  5.156    1  0.000  0.545     0.00     0.00 -1 -7.09e-16      0.00 7.362e-01 2.637e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 9.888 12.450 11.718 10.589 9.809 9.163 8.352 7.834 7.670
0.00004384  1.37e+10  0.4044491649   0.404 -1.315  3.6612  4.957    1  0.000  0.545     0.00     0.00 -1 -5.26e-16      0.00 7.500e-01 2.499e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 8.058 9.786 9.433 8.499 7.882 7.333 6.650 6.167 6.021
0.00004384  1.37e+10  0.3762980700   0.375 -1.386  3.6564  4.976    1  0.000  0.545     0.00     0.00 -1 -7.33e-16      0.00 7.427e-01 2.572e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.234 10.047 9.654 8.700 8.067 7.508 6.811 6.322 6.172
0.00004384  1.37e+10  0.2069035619   0.206 -1.899  3.6260  5.106    1  0.000  0.545     0.00     0.00 -1 -4.75e-16      0.00 7.361e-01 2.638e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 9.517 11.909 11.252 10.164 9.418 8.792 8.004 7.487 7.322
0.00004384  1.37e+10  0.1461794227   0.146 -2.247  3.6064  5.226    1  0.000  0.545     0.00     0.00 -1 -4.75e-17      0.00 7.374e-01 2.625e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.388 13.210 12.365 11.170 10.337 9.662 8.816 8.304 8.148
0.00004384  1.37e+10  0.2949662805   0.294 -1.595  3.6429  5.024    1  0.000  0.545     0.00     0.00 -1 -1.88e-16      0.00 7.362e-01 2.637e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 8.757 10.816 10.308 9.298 8.619 8.031 7.294 6.789 6.630
