# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Apr  2 18:02:34 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: HST/WFC3 wide filters (UVIS1+IR, final throughputs)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F218W1mag  F225W1mag  F275W1mag  F336Wmag  F390Wmag  F438Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag  F105Wmag  F110Wmag  F125Wmag  F140Wmag  F160Wmag
0.00011527 -2.13000 10.07918 0.7755442858 2.4098608494    0.774  0.438  3.8178  4.112    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -3.42e-13      0.00 8.637e-01 1.362e-01 1.319e-05 3.636e-06 3.328e-05 -1.000 1.000e-04 3.674 4.697 4.489 4.124 3.733 4.080 4.147 3.984 3.817 3.654 3.553 3.284 3.252 3.087 3.011 2.910 2.797 2.695
0.00011527 -2.13000 10.07918 0.7796202898 2.4113824368    0.778  0.493  3.8158  4.052    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -4.14e-13      0.00 8.625e-01 1.374e-01 1.330e-05 3.668e-06 3.358e-05 -1.000 1.000e-04 3.538 4.588 4.378 4.007 3.608 3.949 4.013 3.849 3.681 3.517 3.414 3.142 3.110 2.942 2.865 2.764 2.649 2.545
0.00011527 -2.13000 10.07918 0.7824724913 2.4124364853    0.781  0.536  3.8130  3.999    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -4.85e-13      0.00 8.616e-01 1.383e-01 1.339e-05 3.690e-06 3.378e-05 -1.000 1.000e-04 3.431 4.517 4.302 3.922 3.512 3.849 3.913 3.747 3.576 3.409 3.305 3.028 2.996 2.824 2.745 2.642 2.525 2.420
0.00011527 -2.13000 10.07918 0.7830806971 2.4126601219    0.782  0.545  3.8123  3.987    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -5.03e-13      0.00 8.615e-01 1.384e-01 1.340e-05 3.695e-06 3.383e-05 -1.000 1.000e-04 3.406 4.504 4.287 3.904 3.490 3.827 3.891 3.724 3.552 3.384 3.280 3.002 2.969 2.796 2.717 2.614 2.496 2.390
0.00011527 -2.13000 10.07918 0.7836714983 2.4128770828    0.782  0.556  3.8110  3.971    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -5.26e-13      0.00 8.613e-01 1.386e-01 1.342e-05 3.700e-06 3.387e-05 -1.000 1.000e-04 3.379 4.495 4.276 3.887 3.466 3.803 3.868 3.699 3.526 3.356 3.251 2.972 2.938 2.763 2.684 2.580 2.461 2.354
0.00011527 -2.13000 10.07918 0.7856592536 2.4136037827    0.784  0.596  3.8053  3.909    2  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -6.16e-13      0.00 8.607e-01 1.392e-01 1.348e-05 3.715e-06 3.401e-05 -1.000 1.000e-04 3.280 4.484 4.250 3.836 3.384 3.723 3.787 3.611 3.432 3.256 3.148 2.859 2.824 2.640 2.558 2.451 2.329 2.218
0.00011527 -2.13000 10.07918 0.7871810198 2.4141573906    0.786  0.632  3.7983  3.847    2  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -7.18e-13      0.00 8.603e-01 1.396e-01 1.352e-05 3.727e-06 3.412e-05 -1.000 1.000e-04 3.191 4.502 4.251 3.805 3.315 3.658 3.723 3.539 3.350 3.167 3.054 2.754 2.717 2.523 2.438 2.327 2.200 2.084
0.00011527 -2.13000 10.07918 0.7883733511 2.4145894051    0.787  0.664  3.7901  3.782    2  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -8.33e-13      0.00 8.599e-01 1.400e-01 1.356e-05 3.739e-06 3.423e-05 -1.000 1.010e-04 3.110 4.556 4.283 3.797 3.261 3.609 3.674 3.478 3.279 3.087 2.969 2.655 2.615 2.409 2.320 2.205 2.072 1.950
0.00011527 -2.13000 10.07918 0.7893350124 2.4149367809    0.788  0.694  3.7811  3.717    2  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -9.61e-13      0.00 8.561e-01 1.438e-01 1.388e-05 3.825e-06 3.500e-05 -1.000 6.366e-05 3.035 4.640 4.341 3.809 3.221 3.573 3.636 3.428 3.218 3.015 2.891 2.561 2.519 2.299 2.207 2.088 1.948 1.819
0.00011527 -2.13000 10.07918 0.7901419997 2.4152274132    0.788  0.722  3.7724  3.654    2  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1  -1.1e-12      0.00 8.391e-01 1.609e-01 1.512e-05 4.160e-06 3.801e-05 -1.000 4.557e-05 2.965 4.752 4.423 3.839 3.192 3.544 3.602 3.381 3.159 2.947 2.817 2.473 2.428 2.195 2.099 1.976 1.831 1.696
